(110.0,3140.0) name=C0_l2, ports=DD, mode=TE, submitter='sequoiac', grouping=4
(310.0,3140.0) name=C0_l3, ports=DD, mode=TE, submitter='sequoiac', grouping=4
(560.0,3140.0) name=C0_l4, ports=DD, mode=TE, submitter='sequoiac', grouping=4
(-1250.0,3900.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-1070.0,3900.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-890.0,3900.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(190.0,2335.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(370.0,2335.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(550.0,2335.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-1250.0,2335.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-1070.0,2335.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-890.0,2335.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-570.0,2840.0) name=filters, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=4
(-430.0,2840.0) name=filters, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=4
(-822.2,2840.0) name=circuit, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=4
(-698.81,2840.0) name=circuit, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=4
(-1250.0,2840.0) name=C0_100, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-1170.0,2840.0) name=C0_200, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-1090.0,2840.0) name=C0_300, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-920.0,2840.0) name=C0_500, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-1010.0,2840.0) name=C0_400, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-1250.0,1075.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-1070.0,1075.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-890.0,1075.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(-1245.92,1575.0) name=opt_hybrid_jogs_0, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=4
(-1005.9200000000001,1575.0) name=opt_hybrid_jogs_1, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=4
(-765.9200000000001,1575.0) name=opt_hybrid_jogs_2, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=4
(-525.9200000000001,1575.0) name=opt_hybrid_jogs_3, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=4
(190.0,1075.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(370.0,1075.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(550.0,1075.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=4
(81.19000000000005,450.0) name=SIOH_dc_jogs_0, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=4
(271.19000000000005,450.0) name=SIOH_dc_jogs_1, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=4
(461.19000000000005,450.0) name=SIOH_dc_jogs_2, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=4
(651.19,450.0) name=SIOH_dc_jogs_3, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=4
(-218.37999999999988,1575.0) name=DIOH_dc_jogs_0, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=4
(21.62000000000012,1575.0) name=DIOH_dc_jogs_1, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=4
(261.6200000000001,1575.0) name=DIOH_dc_jogs_2, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=4
(501.6200000000001,1575.0) name=DIOH_dc_jogs_3, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=4
(1250.0,-3750.0) name=SIOH_jogs_0, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=5
(1580.0,-3750.0) name=SIOH_jogs_1, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=5
(1910.0,-3750.0) name=SIOH_jogs_2, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=5
(2240.0,-3750.0) name=SIOH_jogs_3, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=5
(1970.0,-3125.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(2150.0,-3125.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(2330.0,-3125.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1970.0,-1865.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
